# Find more stations at http://www.radiosure.com/stations/
# Favoriten
Deutschlandfunk Nova (DLF Nova), http://www.dradio.de/streaming/dradiowissen_hq_ogg.m3u
SWR3, http://mp3-live.swr3.de/swr3_m.m3u
Fritz (RBB), http://www.fritz.de/live.m3u
FluxFM, http://streams.fluxfm.de/live/mp3-320
#Weitere Sender
Deutschlandfunk (DFL), 	http://www.deutschlandradio.de/streaming/dlf_hq_ogg.m3u
Deutschlandfunk Kultur (DLF Kultur), http://www.deutschlandradio.de/streaming/dkultur_hq_ogg.m3u
